Time,Open,High,Low,Close,Adj Close,Volume
2024-10-08 14:30:00-04:00,487.8,488.85,487.47,488.5199,488.5199,2134610
2024-10-08 13:30:00-04:00,486.88,487.9212,486.6701,487.79,487.79,1690743
2024-10-08 12:30:00-04:00,487.73,488.04,486.08,486.84,486.84,2398125
2024-10-08 11:30:00-04:00,487.7,488.29,486.9,487.775,487.775,1948215
2024-10-08 10:30:00-04:00,486.54,488.65,486.4311,487.65,487.65,5305847
2024-10-08 09:30:00-04:00,484.66,486.96,483.845,486.5325,486.5325,6376331
2024-10-07 15:30:00-04:00,482.03,482.79,480.87,482.06,482.06,4054276
2024-10-07 14:30:00-04:00,484.65,484.65,481.16,482.01,482.01,5189338
2024-10-07 13:30:00-04:00,485.07,485.7692,484.419,484.65,484.65,2788299
2024-10-07 12:30:00-04:00,485.79,485.92,484.94,485.14,485.14,1192589
2024-10-07 11:30:00-04:00,485.98,486.23,484.71,485.78,485.78,2154998
2024-10-07 10:30:00-04:00,486.39,486.57,484.97,485.97,485.97,2418668
2024-10-07 09:30:00-04:00,485.42,486.42,484.25,486.37,486.37,4501653
2024-10-04 15:30:00-04:00,486.67,487.87,486.54,487.49,487.49,3787459
2024-10-04 14:30:00-04:00,485.49,486.85,485.2636,486.6711,486.6711,2269000
2024-10-04 13:30:00-04:00,485.47,486.08,484.02,485.49,485.49,2407090
2024-10-04 12:30:00-04:00,484.4797,486.34,484.3,485.47,485.47,1890651
2024-10-04 11:30:00-04:00,483.4338,485.56,482.89,484.51,484.51,2919821
2024-10-04 10:30:00-04:00,483.02,485.85,482.52,483.51,483.51,4095473
2024-10-04 09:30:00-04:00,487.51,487.71,482.385,482.96,482.96,9901686
2024-10-03 15:30:00-04:00,480.08,482.03,479.96,481.62,481.62,2994931
2024-10-03 14:30:00-04:00,480.7199,481.06,479.82,480.0404,480.0404,1685032
2024-10-03 13:30:00-04:00,480.4801,481.3,479.94,480.7099,480.7099,1831395
2024-10-03 12:30:00-04:00,482.57,482.6299,478.99,480.5566,480.5566,4034763
2024-10-03 11:30:00-04:00,481.665,483.2525,481.65,482.57,482.57,1961000
2024-10-03 10:30:00-04:00,480.96,482.6,479.8087,481.695,481.695,3939600
2024-10-03 09:30:00-04:00,479.86,484.545,479.37,481.0,481.0,7032845
2024-10-02 15:30:00-04:00,482.89,483.13,481.835,481.94,481.94,2238302
2024-10-02 14:30:00-04:00,482.22,482.9,481.8675,482.85,482.85,1367133
2024-10-02 13:30:00-04:00,482.15,483.13,481.01,482.27,482.27,2157319
2024-10-02 12:30:00-04:00,483.375,483.375,481.13,482.19,482.19,2377199
2024-10-02 11:30:00-04:00,483.15,483.77,482.47,483.38,483.38,2329210
2024-10-02 10:30:00-04:00,481.83,483.88,481.31,483.07,483.07,3953086
2024-10-02 09:30:00-04:00,480.3625,482.05,477.74,481.9,481.9,7114545
2024-10-01 15:30:00-04:00,482.55,482.55,480.6,481.17,481.17,3563948
2024-10-01 14:30:00-04:00,483.01,483.56,482.1,482.595,482.595,4019113
2024-10-01 13:30:00-04:00,478.21,483.14,478.01,483.06,483.06,5819518
2024-10-01 12:30:00-04:00,480.56,480.79,478.06,478.21,478.21,4491299
2024-10-01 11:30:00-04:00,479.21,481.613,478.9,480.615,480.615,3539172
2024-10-01 10:30:00-04:00,479.51,480.89,477.4,479.215,479.215,6429398
